localitate,judet,abreviere,cod postal
Buftea,Ilfov,IF,70000
Buciumeni,Ilfov,IF,70000
Otopeni,Ilfov,IF,75100
Odaile,Ilfov,IF,75100
1 Decembrie,Ilfov,IF,77005
Copaceni,Ilfov,IF,77006
Afumati,Ilfov,IF,77010
Balotesti,Ilfov,IF,77015
Dumbraveni,Ilfov,IF,77015
Saftica,Ilfov,IF,77015
Berceni,Ilfov,IF,77020
Bragadiru,Ilfov,IF,77025
Branesti,Ilfov,IF,77145
Islaz,Ilfov,IF,77031
Pasarea,Ilfov,IF,77032
Vadu Anei,Ilfov,IF,77033
Cernica,Ilfov,IF,77035
Balaceanca,Ilfov,IF,77035
Caldararu,Ilfov,IF,77037
Posta,Ilfov,IF,77038
Tanganu,Ilfov,IF,77039
Chiajna,Ilfov,IF,77040
Dudu,Ilfov,IF,77041
Rosu,Ilfov,IF,77042
Chitila,Ilfov,IF,77045
Rudeni,Ilfov,IF,77046
Ciolpani,Ilfov,IF,77050
Izvorani,Ilfov,IF,77051
Luparia,Ilfov,IF,77052
Piscu,Ilfov,IF,77053
Ciorogarla,Ilfov,IF,77055
Darvari,Ilfov,IF,77056
Clinceni,Ilfov,IF,77025
Olteni,Ilfov,IF,77061
Ordoreanu,Ilfov,IF,77062
Corbeanca,Ilfov,IF,77065
Ostratu,Ilfov,IF,77066
Petresti,Ilfov,IF,77067
Tamasi,Ilfov,IF,77068
Cornetu,Ilfov,IF,77070
Buda,Ilfov,IF,77071
Dascalu,Ilfov,IF,77075
Creata,Ilfov,IF,77076
Gagu,Ilfov,IF,77077
Runcu,Ilfov,IF,77078
Darasti-Ilfov,Ilfov,IF,77080
Dobroesti,Ilfov,IF,77085
Fundeni,Ilfov,IF,77085
Domnesti,Ilfov,IF,77090
Teghes,Ilfov,IF,77090
Dragomiresti-Vale,Ilfov,IF,77095
Dragomiresti-Deal,Ilfov,IF,77096
Zurbaua,Ilfov,IF,77097
Ganeasa,Ilfov,IF,77100
Cozieni,Ilfov,IF,77100
Moara Domneasca,Ilfov,IF,77100
Piteasca,Ilfov,IF,77100
Sindrilita,Ilfov,IF,77104
Glina,Ilfov,IF,77105
Catelu,Ilfov,IF,77106
Manolache,Ilfov,IF,77105
Gradistea,Ilfov,IF,77110
Sitaru,Ilfov,IF,77111
Gruiu,Ilfov,IF,77115
Lipia,Ilfov,IF,77116
Silistea Snagovului,Ilfov,IF,77117
Santu-Floresti,Ilfov,IF,77118
Jilava,Ilfov,IF,77120
Magurele,Ilfov,IF,77125
Alunisu,Ilfov,IF,77126
Dumitrana,Ilfov,IF,77127
Pruni,Ilfov,IF,77128
Varteju,Ilfov,IF,77129
Moara Vlasiei,Ilfov,IF,77130
Caciulati,Ilfov,IF,77131
Mogosoaia,Ilfov,IF,77135
Nuci,Ilfov,IF,77140
Balta Neagra,Ilfov,IF,77141
Merii Petchii,Ilfov,IF,77142
Micsunesti-Moara,Ilfov,IF,77140
Micsunestii Mari,Ilfov,IF,77144
Pantelimon,Ilfov,IF,77145
Peris,Ilfov,IF,77150
Balteni,Ilfov,IF,77151
Burias,Ilfov,IF,77152
Petrachioaia,Ilfov,IF,77155
Maineasca,Ilfov,IF,77156
Surlari,Ilfov,IF,77157
Vanatori,Ilfov,IF,77158
Popesti-Leordeni,Ilfov,IF,77160
Snagov,Ilfov,IF,77165
Ciofliceni,Ilfov,IF,77166
Tancabesti,Ilfov,IF,77167
Vladiceasca,Ilfov,IF,77168
Ghermanesti,Ilfov,IF,77170
Stefanestii de Jos,Ilfov,IF,77175
Cretuleasca,Ilfov,IF,77176
Stefanestii de Sus,Ilfov,IF,77177
Tunari,Ilfov,IF,77180
Dimieni,Ilfov,IF,77180
Vidra,Ilfov,IF,77186
Cretesti,Ilfov,IF,77186
Sintesti,Ilfov,IF,77187
Voluntari,Ilfov,IF,77190
Pipera (Voluntari),Ilfov,IF,77191
Bolintin-Vale,Giurgiu,GR,87015
Crivina,Giurgiu,GR,85101
Malu Spart,Giurgiu,GR,85102
